Graph,Algorithm,Avg_MIS,Avg_Rounds,Largest_MIS
500-10000,Luby,46.5,9.2,51
500-10000,Alon,47.15,5.98,53
500-10000,Blelloch,45.36,4.89,52
500-10000,Degree One,49.72,21.39,55
500-100000,Luby,4.25,7.66,6
500-100000,Alon,4.42,5.02,6
500-100000,Blelloch,4.42,3.66,6
500-100000,Degree One,4.59,17.48,6
1000-5000,Luby,247.93,7.73,262
1000-5000,Alon,251.95,4.62,262
1000-5000,Blelloch,241.36,4.46,257
1000-5000,Degree One,271.26,25.93,290
1000-10000,Luby,153.77,8.85,163
1000-10000,Alon,157.01,5.5,170
1000-10000,Blelloch,150.94,4.93,162
1000-10000,Degree One,167.52,24.77,178
2500-250000,Luby,65.03,12.98,71
2500-250000,Alon,66.09,8.54,74
2500-250000,Blelloch,64.0,6.68,70
2500-250000,Degree One,68.86,29.29,75
